### sch_text=잠원
-- page 1: 6 rows
S260628141718667194 | 잠원 한강공원 테니스장 1번 코트 주말.공휴일 | R403 | 2026.07.01 ~ 2026.07.31
-- page 2: 6 rows
S260628141508247964 | 잠원 한강공원 테니스장 2번 코트 주말.공휴일 | R403 | 2026.07.01 ~ 2026.07.31
S260628141116909501 | 잠원 한강공원 테니스장 3번 코트 주말.공휴일 | R403 | 2026.07.01 ~ 2026.07.31
S260628140211208907 | 잠원 한강공원 테니스장 3번 코트 평일 | R405 | 2026.07.01 ~ 2026.07.31
-- page 3: 5 rows
S260628140512730637 | 잠원 한강공원 테니스장 2번 코트 평일 | R405 | 2026.07.01 ~ 2026.07.31
S260628140735698089 | 잠원 한강공원 테니스장 1번 코트 평일 | R405 | 2026.07.01 ~ 2026.07.31
S260628135919511617 | 잠원 한강공원 테니스장 1번 코트 저녁 | R405 | 2026.07.01 ~ 2026.07.31
S260628135450728208 | 잠원 한강공원 테니스장 2번 코트 저녁 | R405 | 2026.07.01 ~ 2026.07.31
S260628100937982525 | 잠원 한강공원 테니스장 3번 코트 저녁 | R405 | 2026.07.01 ~ 2026.07.31
### sch_text=광나루
-- page 1: 6 rows
-- page 2: 6 rows
-- page 3: 6 rows
### sch_text=홍은
-- page 1: 4 rows
S260709113110688728 | 홍은테니스장 평일 주간 7월16일~31일 | R403 | 2026.07.16 ~ 2026.07.31
S260709113450010663 | 홍은테니스장 주말 및 공휴일 야간 7월16일~31일 | R403 | 2026.07.16 ~ 2026.07.31
S260623114555963304 | 홍은테니스장 평일 주간 7월1일~15일 | R403 | 2026.07.01 ~ 2026.07.15
S260623114746398321 | 홍은테니스장 주말 및 공휴일 야간 7월1일~15일 | RRRR | 2026.07.01 ~ 2026.07.15
-- page 2: 0 rows
-- page 3: 0 rows
-- page 4: 6 rows
S260629125420994109 | 광나루 한강공원 테니스장 7번 코트 - 주말,공휴일 | R403 | 2026.07.01 ~ 2026.07.31
S260629125253989687 | 광나루 한강공원 테니스장 6번 코트 - 주말,공휴일 | R403 | 2026.07.01 ~ 2026.07.31
S260629125127214601 | 광나루 한강공원 테니스장 5번 코트 - 주말,공휴일 | R403 | 2026.07.01 ~ 2026.07.31
S260629124955131255 | 광나루 한강공원 테니스장 4번 코트 - 주말,공휴일 | R403 | 2026.07.01 ~ 2026.07.31
-- page 5: 6 rows
S260629124826190439 | 광나루 한강공원 테니스장 3번 코트 - 주말,공휴일 | R403 | 2026.07.01 ~ 2026.07.31
S260629123923436251 | 광나루 한강공원 테니스장 3번 코트 - 저녁 | R405 | 2026.07.01 ~ 2026.07.31
S260629124202427628 | 광나루 한강공원 테니스장 4번 코트 - 저녁 | R405 | 2026.07.01 ~ 2026.07.31
-- page 6: 6 rows
S260629123742894922 | 광나루 한강공원 테니스장 7번 코트 - 평일 | R405 | 2026.07.01 ~ 2026.07.31
S260629123606783495 | 광나루 한강공원 테니스장 6번 코트 - 평일 | R405 | 2026.07.01 ~ 2026.07.31
S260629123427135231 | 광나루 한강공원 테니스장 5번 코트 - 평일 | R405 | 2026.07.01 ~ 2026.07.31
S260629123214623725 | 광나루 한강공원 테니스장 4번 코트 - 평일 | R405 | 2026.07.01 ~ 2026.07.31
S260629122953433661 | 광나루 한강공원 테니스장 3번 코트 - 평일 | R405 | 2026.07.01 ~ 2026.07.31
S260629124656109245 | 광나루 한강공원 테니스장 7번 코트 - 저녁 | R405 | 2026.07.01 ~ 2026.07.31
-- page 7: 3 rows
S260629124507723064 | 광나루 한강공원 테니스장 6번 코트 - 저녁 | R405 | 2026.07.01 ~ 2026.07.31
S260629124335129258 | 광나루 한강공원 테니스장 5번 코트 - 저녁 | R405 | 2026.07.01 ~ 2026.07.31
-- page 8: 0 rows
